Code_Cs,Nom_Cs,Code_Org,Nom_Org,IMSE,Rang_Decile_IMSE,SFR,Rang_Decile_SFR,Nbre_Eleves,Diffusion
871000,Centre de services scolaire de la Riveraine (871000),871027,École Marie-Sophie (871027),13.0925669902912,10,7.27794786407768,8,103,OUI
872000,Centre de services scolaire des Bois-Francs (872000),872022,École Pie-X (872022),7.08595289351851,6,3.54600497685184,5,432,OUI
872000,Centre de services scolaire des Bois-Francs (872000),872063,École La Sapinière - Amédée-Boisvert (872063),7.54701599999998,7,2.55038004444445,4,225,OUI
873000,Centre de services scolaire des Chênes (873000),873019,École Saint-Pierre (873019),8.44564395437262,7,6.41215178707224,7,263,OUI
873000,Centre de services scolaire des Chênes (873000),873044,École Notre-Dame et Sacré-Coeur (873044),8.12393162162161,7,1.32256243243243,2,74,OUI
882000,Commission scolaire Eastern Shores (882000),882002,École secondaire de New Carlisle (882002),17.4064577272727,10,0.43602,1,44,OUI
883000,Commission scolaire Eastern Townships (883000),883006,École primaire de Drummondville (883006),8.45514444444444,7,4.57406129629629,6,216,OUI
884000,Commission scolaire Riverside (884000),884003,École John-Adam Memorial (884003),4.82954194029851,3,2.33178753731343,3,268,OUI
884000,Commission scolaire Riverside (884000),884031,École Reach (884031),6.94113021978022,6,6.82826098901099,7,91,OUI
885000,Commission scolaire Sir-Wilfrid-Laurier (885000),885166,École primaire Souvenir (885166),9.34362869415806,8,6.71310800687285,7,291,OUI
886000,Commission scolaire Western Québec (886000),886009,École Noranda (886009),5.57038847222223,4,2.10136027777778,3,72,OUI
887000,Commission scolaire English-Montréal (887000),887003,École Cedarcrest (887003),11.4488550738916,9,14.5408237438424,10,203,OUI
887000,Commission scolaire English-Montréal (887000),887024,École primaire internationale Michelangelo (887024),6.84884999999999,6,5.93293506631299,7,377,OUI
887000,Commission scolaire English-Montréal (887000),887256,École Philip E. Layton (887256),NA,NA,NA,NA,NA,NON
888000,Commission scolaire Lester-B.-Pearson (888000),888031,École primaire Saint-John-Fisher Senior (888031),3.70694954385965,2,5.7290319298245604,7,285,OUI
888000,Commission scolaire Lester-B.-Pearson (888000),888085,École primaire Springdale (888085),8.84271530120482,8,10.3314636144578,8,166,OUI
889000,Commission scolaire New Frontiers (889000),889019,École primaire Harmony (889019),5.77032801526717,5,2.10352770992366,3,262,OUI
