stop_id,stop_code,stop_name,stop_description,wheelchair_boarding,wheelchair_boarding_label,stop_url,access_date
1-4605,4605,M.-Goretti,Claudel / M.-Goretti,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4605,2026-09-05
1-4656,4656,Brault,de Rouen / Rochefort,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4656,2026-09-05
1-4698,4698,la Petite-Oasis,de la Faune / de la Petite-Oasis,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4698,2026-09-05
1-4745,4745,Allard,Saint-Jacques / Allard,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4745,2026-09-05
1-4794,4794,St-Charles/4794,du Lac-Saint-Charles / au 1009,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4794,2026-09-05
1-4830,4830,St-Charles/4830,du Lac-Saint-Charles / au 1794,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4830,2026-09-05
1-4866,4866,St-Romain,Lapierre / Saint-Romain,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4866,2026-09-05
1-4911,4911,du Binôme/4911,Rideau / du Binôme,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4911,2026-09-05
1-4949,4949,du Plein-Air,G.-Muir / du Plein-Air,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4949,2026-09-05
1-4993,4993,Huot/4993,Huot / face au 219,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4993,2026-09-05
1-5037,5037,Morand/5037,Masson / Morand,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5037,2026-09-05
1-5075,5075,S.-Drolet/5075,de l'Ormière / S.-Drolet,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5075,2026-09-05
1-5123,5123,Gastonguay,de l'Ormière / Gastonguay,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5123,2026-09-05
1-5163,5163,P.-Lelièvre/5163,Père-Lelièvre / au 1401,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5163,2026-09-05
1-5201,5201,Flamand,Baker / Flamand,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5201,2026-09-05
1-5241,5241,J.-Marchand/5241,J.-Marchand / au 3975,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5241,2026-09-05
1-5278,5278,Aréna Duberger,Central / Dion,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5278,2026-09-05
1-5317,5317,des Quatre-Temps,Jean-XXIII / des Quatre-Temps,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5317,2026-09-05
1-5362,5362,J.-Laurin,de la Famille / J.-Laurin,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5362,2026-09-05
1-5399,5399,des Visons,des Loutres / des Visons,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5399,2026-09-05
1-5444,5444,Paquin/5444,Paquin / face au 3363,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5444,2026-09-05
1-5492,5492,J.-Froissart,Montpellier / De Montherlant,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5492,2026-09-05
1-5539,5539,Royale,Fr.-De Laval / Royale,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5539,2026-09-05
1-5589,5589,du Grand-Bourg,Pie-XI Nord / du Grand-Bourg,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5589,2026-09-05
1-5629,5629,des Collégiens,de l'Aéroport / des Collégiens,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5629,2026-09-05
1-5695,5695,T. Charlesbourg,Terminus Charlesbourg - Quai C7,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5695,2026-09-05
1-5768,5768,Francheville5768,Sainte-Anne / Francheville,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5768,2026-09-05
1-5810,5810,Glazier/5810,V.-Delamarre / Glazier,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5810,2026-09-05
1-5869,5869,des Ombrettes,de la Volière / des Ombrettes,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5869,2026-09-05
1-5914,5914,Charron,J.-Juneau / Charron,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5914,2026-09-05
1-5963,5963,Sicotte/5963,Sicotte / au 3345,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5963,2026-09-05
