lien_ecole_immeuble_id,NOM_OFFCL_ORGNS,NOM_IMM,municipalite,region_administrative,type_reseau_public,est_primaire,est_secondaire,nb_ordres_autorises
823097-823097,École Curé-Beaudet,Curé-Beaudet,Saint-Éphrem-de-Beauce,Chaudière-Appalaches,Francophone,TRUE,FALSE,2
823337-823080,Centre d'éducation des adultes de Saint-Prosper et de Sainte-Justine,Kennebec,Saint-Côme–Linière,Chaudière-Appalaches,Francophone,FALSE,FALSE,1
823423-823023,Centre intégré de mécanique industrielle de la Chaudière,CIMIC,Saint-Georges,Chaudière-Appalaches,Francophone,FALSE,FALSE,1
824060-824004,École du Bac,"Bac, du",Saint-Lambert-de-Lauzon,Chaudière-Appalaches,Francophone,TRUE,FALSE,2
824170-824026,"École Étienne-Chartier, de l'Amitié",Étienne-Chartier,Saint-Gilles,Chaudière-Appalaches,Francophone,TRUE,FALSE,2
831001-831002,École Raymond,"Raymond, pavillon sud",Laval,Laval,Francophone,TRUE,FALSE,2
831054-831054,École Saint-Julien,Saint-Julien,Laval,Laval,Francophone,TRUE,FALSE,2
831114-831114,École Mont-de-La Salle,Mont-de-La Salle,Laval,Laval,Francophone,FALSE,TRUE,1
831350-831130,Centre d'éducation des adultes Les Berges,"Roseval, édifice",Laval,Laval,Francophone,FALSE,FALSE,1
831440-831126,École Polymécanique de Laval,"Centre administratif, édifice 1",Laval,Laval,Francophone,FALSE,FALSE,1
841020-841021,École Longpré,Longpré annexe,Repentigny,Lanaudière,Francophone,TRUE,FALSE,1
841119-841119,École Aux 4 Vents,Aux 4 Vents,Mascouche,Lanaudière,Francophone,TRUE,FALSE,2
842016-842016,École primaire Saint-Coeur-de-Marie,Saint-Coeur-de-Marie,Saint-Damien,Lanaudière,Francophone,TRUE,FALSE,2
842085-842085,École primaire Notre-Dame-de-la-Paix,Notre-Dame-de-la-Paix,Saint-Ambroise-de-Kildare,Lanaudière,Francophone,TRUE,FALSE,2
842401-842104,Centre multiservice des Samares,Pierre-de-Lestage,Berthierville,Lanaudière,Francophone,FALSE,FALSE,1
851219-851045,École Plateau Saint-Louis,"Plateau Saint-Louis, pavillon Plateau Saint-Louis",Blainville,Laurentides,Francophone,TRUE,FALSE,2
851286-851052,École des Moissons,"Moissons, des",Sainte-Anne-des-Plaines,Laurentides,Francophone,TRUE,FALSE,2
852010-852056,École polyvalente Saint-Jérôme,Polyvalente Saint-Jérôme,Saint-Jérôme,Laurentides,Francophone,FALSE,TRUE,1
852052-852012,École l'Oasis,Annexe Oasis,Lachute,Laurentides,Francophone,TRUE,FALSE,2
852402-852025,Centre Performance Plus,Annexe Performance Plus,Lachute,Laurentides,Francophone,FALSE,FALSE,1
854001-854050,École de la Madone et de la Carrière,"Carrière, de la",Mont-Laurier,Laurentides,Francophone,TRUE,FALSE,1
854302-854059,Centre d'éducation des adultes Christ-Roi,"Sacré-Coeur (Mont-Saint-Michel), du",Mont-Saint-Michel,Laurentides,Francophone,FALSE,FALSE,1
862002-862813,École secondaire Casavant,Pavillon Léo-Sansoucy,Saint-Hyacinthe,Montérégie,Francophone,FALSE,TRUE,1
862217-862036,École Saint-Thomas-d'Aquin,"Saint-Thomas-d'Aquin, Immeuble II",Saint-Hyacinthe,Montérégie,Francophone,TRUE,FALSE,2
863039-863039,École Alberte-Melançon,Alberte-Melançon,Saint-Paul-de-l'Île-aux-Noix,Montérégie,Francophone,TRUE,FALSE,2
864006-864006,École Carillon,Carillon,Longueuil,Montérégie,Francophone,TRUE,FALSE,2
864063-864103,École des Petits-Explorateurs,"Petits-Explorateurs, des",Longueuil,Montérégie,Francophone,TRUE,FALSE,2
864383-864068,Centre d'éducation des adultes Le Moyne-D'Iberville,"Remparts, spécialisée des",Longueuil,Montérégie,Francophone,FALSE,FALSE,1
864490-864108,Centre de formation professionnelle Pierre-Dupuy,CEFI,Longueuil,Montérégie,Francophone,FALSE,FALSE,1
865191-865055,École Le Sablier,Le Sablier,Saint-Amable,Montérégie,Francophone,TRUE,FALSE,2
865331-865015,Centre d'éducation des adultes des Patriotes,Paul-VI,Boucherville,Montérégie,Francophone,FALSE,FALSE,1
865331-865082,Centre d'éducation des adultes des Patriotes,"Amitié, de l'",Saint-Jean-Baptiste,Montérégie,Francophone,FALSE,FALSE,1
866016-866016,École Sainte-Cécile,Sainte-Cécile,Sainte-Cécile-de-Milton,Estrie,Francophone,TRUE,FALSE,2
866470-866060,Centre régional intégré de formation,Centre administratif,Granby,Estrie,Francophone,FALSE,FALSE,1
867055-867047,École Bonnier,Bonnier,Mercier,Montérégie,Francophone,FALSE,TRUE,1
867389-867026,Centre de formation générale aux adultes des Grandes-Seigneuries,Saint-Jean,Sainte-Catherine,Montérégie,Francophone,FALSE,FALSE,1
868006-868006,École Sacré-Coeur,Sacré-Coeur (Sainte-Martine),Sainte-Martine,Montérégie,Francophone,TRUE,FALSE,2
868303-868024,Centre de formation générale des adultes des Tisserands,Dominique-Savio,Salaberry-de-Valleyfield,Montérégie,Francophone,FALSE,FALSE,1
869008-869016,École de Coteau-du-Lac,Académie Wilson,Coteau-du-Lac,Montérégie,Francophone,TRUE,FALSE,1
871012-871041,École secondaire Jean-Nicolet,"Jean-Nicolet, secondaire",Nicolet,Centre-du-Québec,Francophone,FALSE,TRUE,1
872025-872059,École communautaire l'Eau Vive,Saint-Médard,Warwick,Centre-du-Québec,Francophone,TRUE,FALSE,1
872316-872066,Centre Monseigneur-Côté,"Le tandem (Albert-Morissette), secondaire",Victoriaville,Centre-du-Québec,Francophone,FALSE,FALSE,1
873016-873076,École Saint-Nicéphore,Collège Saint-Nicéphore,Drummondville,Centre-du-Québec,Francophone,TRUE,FALSE,2
873402-742100,Centre de formation professionnelle Paul-Rousseau,"Chutes, secondaire des",Shawinigan,Mauricie,Francophone,FALSE,FALSE,1
882004-882002,École de Shigawake--Port Daniel,Shigawake Port-Daniel School,Port-Daniel–Gascons,Gaspésie–Îles-de-la-Madeleine,Anglophone,TRUE,FALSE,2
882415-882014,Centre de formation professionnelle de Grosse-Île,Grosse-Île High School,Grosse-Île,Gaspésie–Îles-de-la-Madeleine,Anglophone,FALSE,FALSE,1
883303-883031,Centre d'Éducation Générale aux Adultes Eastern Townships,St. Francis,Richmond,Estrie,Anglophone,FALSE,FALSE,1
883402-883033,Centre de Formation  professionnelle de Lennoxville,Sutton,Sutton,Estrie,Anglophone,FALSE,FALSE,1
884350-884035,Centre de formation générale adulte ACCESS Cleghorn,"Régionale Centennial, secondaire",Longueuil,Montérégie,Anglophone,FALSE,FALSE,1
884450-884035,Centre de formation professionnelle ACCESS Cleghorn,"Régionale Centennial, secondaire",Longueuil,Montérégie,Anglophone,FALSE,FALSE,1
885158-885811,École primaire Laurentia,Laurentia Annex ES,Saint-Jérôme,Laurentides,Anglophone,TRUE,FALSE,2
886012-886015,École secondaire Saint-Michael,St. Michael,Low,Outaouais,Anglophone,FALSE,TRUE,1
887021-887013,Académie Leonardo-da-Vinci,Leonardo Da Vinci,Montréal,Montréal,Anglophone,TRUE,FALSE,2
887247-887862,Hôpital pour enfants Shriners,L'Hôpital Shriners pour Enfants,Montréal,Montréal,Anglophone,TRUE,TRUE,3
888040-888067,École primaire Westpark,Westpark,Dollard-des-Ormeaux,Montréal,Anglophone,TRUE,FALSE,2
888311-888025,Centre d'éducation des adultes Place Cartier,Beaconsfield High,Beaconsfield,Montréal,Anglophone,FALSE,FALSE,1
889499-889016,Centre de formation professionnelle Nova,Complexe Howard S. Billings,Châteauguay,Montérégie,Anglophone,FALSE,FALSE,1
