id_unique,nature,activite,type_lieu_intervention,arrondissement,arrondissement_geo,date_creation,annee_creation,mois_creation,provenance_originale
23-70232,Requete,Punaises de lit,Adresse,Rivière-des-Prairies - Pointe-aux-Trembles,Rivière-des-Prairies-Pointe-aux-Trembles,2023-04-03T14:35:02Z,2023,2023-04-01T00:00:00Z,Personne
23-84380,Requete,Retour DDS,Adresse,Pierrefonds - Roxboro,Pierrefonds-Roxboro,2023-04-13T10:22:17Z,2023,2023-04-01T00:00:00Z,Téléphone
23-98210,Requete,Nettoyage du domaine public,Adresse,Ville-Marie,Ville-Marie,2023-04-25T10:01:20Z,2023,2023-04-01T00:00:00Z,Téléphone
23-112602,Requete,Bac roulant,Adresse,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2023-05-08T10:44:34Z,2023,2023-05-01T00:00:00Z,Téléphone
23-127084,Plainte,Clôture et haie privée,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2023-05-19T13:22:52Z,2023,2023-05-01T00:00:00Z,Téléphone
23-140795,Requete,Installations sportives extérieures - Entretien,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2023-05-31T15:46:22Z,2023,2023-05-01T00:00:00Z,Téléphone
23-154406,Requete,Nettoyage du domaine public,Intersection,Rosemont - La Petite-Patrie,Le Plateau-Mont-Royal,2023-06-12T09:22:52Z,2023,2023-06-01T00:00:00Z,Téléphone
23-169741,Requete,Collecte de résidus alimentaires,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2023-06-26T12:44:03Z,2023,2023-06-01T00:00:00Z,Mobile
23-184635,Requete,Sports et loisirs - Activités,Installation,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2023-07-10T11:13:38Z,2023,2023-07-01T00:00:00Z,Téléphone
23-199011,Requete,Mobilier urbain,Troncon,Lachine,Lachine,2023-07-21T10:37:56Z,2023,2023-07-01T00:00:00Z,Téléphone
23-214225,Requete,Danger potentiel - Arbre,Intersection,Pierrefonds - Roxboro,Pierrefonds-Roxboro,2023-08-03T08:10:53Z,2023,2023-08-01T00:00:00Z,Téléphone
23-228584,Requete,Finances - Divers,Adresse,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,2023-08-16T15:42:17Z,2023,2023-08-01T00:00:00Z,Téléphone
23-244500,Requete,Parc - Propreté,Intersection,Ville-Marie,Ville-Marie,2023-08-31T12:05:45Z,2023,2023-08-01T00:00:00Z,Téléphone
