Description_infraction,Type_etablissement,Date_infraction,Date_jugement,Date_publication,Amende,SOC_NOM_ARTCL_INFRC,amende_num,ville_montreal,delai_infraction_jugement_jours
"A EXPLOITE UN LIEU, OU UNE OU DES PERSONNES, AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT, NE PORTAIENT PAS UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX.",REST. SERVICE RAPIDE,2023-01-20,2024-04-12,2024-04-25,500 $,ABSENCE DE BONNET OU RESILLE,500,FALSE,448
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",REST. SERVICE RAPIDE,2022-08-23,2023-02-28,2023-03-06,500 $,INSALUBRITE,500,FALSE,189
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2023-09-14,2024-10-24,2024-11-08,500 $,INSALUBRITE,500,FALSE,406
"A TITRE D'EXPLOITANT VISE A L'ARTICLE 3.1, N'A PAS UTILISE DES LIEUX OU DES LOCAUX, CONCU (S), CONSTRUIT (S) ET ENTRETENU (S) DE MANIERE A NE PAS CONTAMINER LES PRODUITS.",RESTAURANT,2023-01-19,2023-12-14,2023-12-18,500 $,UTILISATION LIEU DE FACON HYGIENIQUE,500,FALSE,329
"A EXPLOITE UN LIEU, OU UNE PERSONNE AFFECTEE A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT CONSOMMAIT DES ALIMENTS DANS LE LOCAL OU L'AIRE DE PREPARATION DES PRODUITS DE LAVAGE OU DE NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT.",RESTAURANT,2022-12-05,2023-06-17,2023-07-03,500 $,CONSOMMATION DES ALIMENTS,500,FALSE,194
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS, LES MATERIAUX ET LES USTENSILES SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2023-10-13,2024-02-08,2024-02-19,1 500 $,INSALUBRITE,1500,FALSE,118
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES. (RECIDIVE)",RESTAURANT SERVICE RAPIDE,2022-09-14,2023-07-25,2023-08-08,1 000 $,INSALUBRITE,1000,FALSE,314
"ETANT EXPLOITANT D'UN LIEU VISE A L'ARTICLE 2.1.1 OU LES SURFACES DU MATERIEL QUI ENTRENT EN CONTACT DIRECT AVEC LES PRODUITS, N'ETAIENT PAS EXEMPTES DE PARTICULES DETACHABLES, D'ASPERITES OU DE FISSURES.",RESTAURANT METS A EMPORTER,2023-05-01,2023-10-16,2023-10-25,500 $,SURFACE LISSE,500,FALSE,168
"A TITRE D'EXPLOITANT VISE A L'ARTICLE 3.1, N'A PAS UTILISE DES LIEUX, CONCU (S), CONSTRUIT (S) ET ENTRETENU (S) DE MANIERE A NE PAS CONTAMINER LES PRODUITS.",RESTAURANT,2022-07-06,2024-02-01,2024-02-28,500 $,UTILISATION LIEU DE FACON HYGIENIQUE,500,FALSE,575
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES. (RECIDIVE)",RESTAURANT,2023-10-04,2024-02-18,2024-02-28,1 000 $,INSALUBRITE,1000,FALSE,137
