code_sdr,nom_sdr,idugd,niveau_geo,qualite_geo,c1,symbole_c1,c58,symbole_c58,c63,symbole_c63,c64,symbole_c64,c65,symbole_c65,c68,symbole_c68,c69,symbole_c69,c70,symbole_c70,c78,symbole_c78,c86,symbole_c86,c89,symbole_c89,c97,symbole_c97,c126,symbole_c126,c127,symbole_c127,c128,symbole_c128,c1998,symbole_c1998,c1999,symbole_c1999,c2229,symbole_c2229
2406050,"Saint-Alexis-de-Matapédia, Municipalité (MÉ)",2021A00052406050,Subdivision de recensement,00000,519,,470,,0,,15,,5,,10,,30,,35,,150,,15,,490,,95,,450,,445,,33800,,445,,110,,38.2,
2406055,"Saint-François-d'Assise, Municipalité (MÉ)",2021A00052406055,Subdivision de recensement,00000,679,,620,,0,,25,,10,,10,,35,,70,,205,,20,,645,,110,,575,,565,,33600,,575,,295,,39.1,
2406060,"L'Ascension-de-Patapédia, Municipalité (MÉ)",2021A00052406060,Subdivision de recensement,00909,148,,135,,0,,5,,0,,5,,15,,10,,40,,5,,150,,40,,145,,,x,,x,145,,35,,31,
2406802,"Gesgapegiag, Réserve indienne (IRI)",2021A00052406802,Subdivision de recensement,03030,637,,460,,0,,5,,0,,15,,35,,25,,185,,105,,635,,55,,460,,440,,42000,,460,,165,,66.3,
2406804,"Listuguj, Réserve indienne (IRI)",2021A00052406804,Subdivision de recensement,19999,,..,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2406902,"Rivière-Nouvelle, Non organisé (NO)",2021A00052406902,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2406904,"Ruisseau-Ferguson, Non organisé (NO)",2021A00052406904,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2407005,"Sainte-Marguerite-Marie, Municipalité (MÉ)",2021A00052407005,Subdivision de recensement,00909,183,,160,,0,,5,,5,,0,,20,,10,,55,,10,,180,,30,,145,,,x,,x,145,,45,,41.4,
2407010,"Sainte-Florence, Municipalité (MÉ)",2021A00052407010,Subdivision de recensement,00000,367,,320,,0,,15,,5,,0,,20,,30,,110,,15,,365,,75,,345,,330,,32600,,345,,170,,34.8,
2407018,"Causapscal, Ville (V)",2021A00052407018,Subdivision de recensement,00000,2147,,1880,,0,,65,,10,,30,,120,,150,,610,,100,,2080,,425,,1830,,1775,,39280,,1825,,540,,47.7,
2407025,"Albertville, Municipalité (MÉ)",2021A00052407025,Subdivision de recensement,00929,239,,210,,0,,10,,0,,0,,15,,5,,75,,5,,240,,45,,195,,,x,,x,195,,45,,46.2,
2407030,"Saint-Léon-le-Grand, Paroisse (municipalité de) (PE)",2021A00052407030,Subdivision de recensement,00000,968,,805,,5,,35,,10,,15,,35,,50,,285,,30,,950,,125,,780,,760,,37600,,775,,180,,50.3,
2407035,"Saint-Zénon-du-Lac-Humqui, Paroisse (municipalité de) (PE)",2021A00052407035,Subdivision de recensement,00010,370,,320,,0,,10,,0,,5,,20,,20,,110,,15,,370,,80,,330,,330,,32000,,330,,105,,37.9,
