x_m,y_m,ecart_c
-208132.5,320167.5,16.583412170410156
-208072.5,320167.5,16.136531829833984
-208012.5,320167.5,15.296022415161133
-207952.5,320167.5,14.784370422363281
-207892.5,320167.5,11.852509498596191
-207832.5,320167.5,13.36885929107666
-207772.5,320167.5,13.521734237670898
-207712.5,320167.5,13.034817695617676
-207652.5,320167.5,11.957385063171387
-207592.5,320167.5,6.51841926574707
-207532.5,320167.5,6.848030090332031
-207472.5,320167.5,12.285077095031738
-207412.5,320167.5,10.254984855651855
-207352.5,320167.5,11.95461368560791
-207292.5,320167.5,12.886585235595703
-207232.5,320167.5,13.03882884979248
-207172.5,320167.5,11.491536140441895
-207112.5,320167.5,15.678160667419434
-207052.5,320167.5,14.991898536682129
-206992.5,320167.5,13.634782791137695
-206932.5,320167.5,14.710244178771973
-206872.5,320167.5,13.676592826843262
-206812.5,320167.5,14.567829132080078
-206752.5,320167.5,12.91411304473877
-206692.5,320167.5,13.127158164978027
-206632.5,320167.5,13.60840129852295
-206572.5,320167.5,15.243827819824219
-206512.5,320167.5,15.963104248046875
-206452.5,320167.5,11.925104141235352
-206392.5,320167.5,12.760603904724121
-206332.5,320167.5,10.395151138305664
-206272.5,320167.5,10.25989818572998
-206212.5,320167.5,12.171714782714844
-206152.5,320167.5,11.402715682983398
-206092.5,320167.5,7.854137420654297
-206032.5,320167.5,12.164976119995117
-205972.5,320167.5,10.782655715942383
-205912.5,320167.5,6.991242408752441
-205852.5,320167.5,9.315756797790527
-211672.5,320107.5,16.541772842407227
-211612.5,320107.5,15.167236328125
-211552.5,320107.5,14.663612365722656
-211492.5,320107.5,18.16666603088379
-211432.5,320107.5,15.274727821350098
-211372.5,320107.5,13.683959007263184
-211312.5,320107.5,15.016597747802734
-211252.5,320107.5,14.532894134521484
-211192.5,320107.5,14.386263847351074
-211132.5,320107.5,15.23320484161377
-211072.5,320107.5,13.31981372833252
-211012.5,320107.5,14.339133262634277
-210952.5,320107.5,16.17683982849121
-210892.5,320107.5,17.362548828125
-210832.5,320107.5,16.043514251708984
-210772.5,320107.5,11.718605041503906
-210712.5,320107.5,10.18103313446045
-210652.5,320107.5,14.395702362060547
-210592.5,320107.5,11.486064910888672
-210532.5,320107.5,11.275293350219727
-210472.5,320107.5,10.591903686523438
-210412.5,320107.5,12.55489730834961
-210352.5,320107.5,11.367620468139648
-210292.5,320107.5,13.690067291259766
-210232.5,320107.5,9.373382568359375
-210172.5,320107.5,12.734272003173828
-210112.5,320107.5,11.440966606140137
-210052.5,320107.5,7.65755558013916
-209992.5,320107.5,11.29277229309082
-209932.5,320107.5,11.72425365447998
-209872.5,320107.5,12.217988014221191
-209812.5,320107.5,12.534977912902832
-209752.5,320107.5,7.725972652435303
-209692.5,320107.5,12.556471824645996
-209632.5,320107.5,13.521553039550781
-209572.5,320107.5,13.337498664855957
-209512.5,320107.5,10.851551055908203
-209452.5,320107.5,8.977230072021484
-209392.5,320107.5,7.4899163246154785
-209332.5,320107.5,9.799395561218262
-209272.5,320107.5,12.141741752624512
-209212.5,320107.5,15.331494331359863
-209152.5,320107.5,15.245096206665039
-209092.5,320107.5,9.94083023071289
-209032.5,320107.5,8.92782211303711
-208972.5,320107.5,9.454509735107422
-208912.5,320107.5,14.760289192199707
-208852.5,320107.5,11.703094482421875
-208792.5,320107.5,11.5514554977417
-208732.5,320107.5,9.611336708068848
-208672.5,320107.5,13.958212852478027
-208612.5,320107.5,13.921773910522461
-208552.5,320107.5,12.001626968383789
-208492.5,320107.5,13.488357543945312
-208432.5,320107.5,11.563759803771973
-208372.5,320107.5,12.575501441955566
-208312.5,320107.5,15.135363578796387
-208252.5,320107.5,9.610530853271484
-208192.5,320107.5,12.91641902923584
-208132.5,320107.5,16.0595703125
-208072.5,320107.5,16.501205444335938
-208012.5,320107.5,16.126203536987305
-207952.5,320107.5,16.809228897094727
-207892.5,320107.5,18.589975357055664
-207832.5,320107.5,9.811982154846191
-207772.5,320107.5,12.619514465332031
-207712.5,320107.5,9.697677612304688
